iter_name,gi,pj,sk,cl,gmod_pa,phi_rad,psi_rad,cval_pa,x_min,x_max,spread,z_max,n_floor,retained_frac,ranoff_frac
grid_g6_p2_s0_c3,6,2,0,3,80000000.00000003,0.6,0.0,1500.0,8.26583e-05,1.25086,1.2507773417,0.158107,626,0.027950310559006212,0.0
grid_g0_p2_s0_c6,0,2,0,6,1000000.0,0.6,0.0,3000.0,0.0032916,0.627759,0.6244674,0.184302,639,0.007763975155279503,0.0
grid_g3_p2_s0_c5,3,2,0,5,8944271.90999916,0.6,0.0,2500.0,4.47838e-06,0.679093,0.67908852162,0.166382,630,0.007763975155279503,0.0
grid_g5_p2_s0_c4,5,2,0,4,38539699.35995991,0.6,0.0,2000.0,0.00153818,0.841892,0.84035382,0.14882199999999998,639,0.007763975155279503,0.0
grid_g1_p2_s0_c6,1,2,0,6,2075781.6311124284,0.6,0.0,3000.0,0.000935614,0.62676,0.625824386,0.188266,639,0.007763975155279503,0.0
grid_g4_p2_s0_c5,4,2,0,5,18566355.33445113,0.6,0.0,2500.0,0.00106694,0.876176,0.87510906,0.17640999999999998,631,0.020186335403726708,0.0
grid_g2_p2_s0_c6,2,2,0,6,4308869.380063765,0.6,0.0,3000.0,0.0198165,0.642535,0.6227185,0.187255,638,0.009316770186335404,0.0
grid_g3_p2_s0_c6,3,2,0,6,8944271.90999916,0.6,0.0,3000.0,0.000146705,0.652623,0.6524762949999999,0.196152,639,0.007763975155279503,0.0
grid_g0_p2_s1_c0,0,2,1,0,1000000.0,0.6,0.0583333333333333,0.0,0.00266674,1.75186,1.74919326,0.145504,608,0.055900621118012424,0.0
grid_g6_p2_s0_c4,6,2,0,4,80000000.00000003,0.6,0.0,2000.0,0.00172088,0.771827,0.77010612,0.143872,621,0.021739130434782608,0.0
grid_g5_p2_s0_c5,5,2,0,5,38539699.35995991,0.6,0.0,2500.0,0.00115842,0.737816,0.73665758,0.144179,639,0.007763975155279503,0.0
grid_g1_p2_s1_c0,1,2,1,0,2075781.6311124284,0.6,0.0583333333333333,0.0,0.00256755,1.64007,1.63750245,0.123645,615,0.04503105590062112,0.0
grid_g4_p2_s0_c6,4,2,0,6,18566355.33445113,0.6,0.0,3000.0,0.0010164,0.656486,0.6554696,0.192835,635,0.013975155279503106,0.0
grid_g2_p2_s1_c0,2,2,1,0,4308869.380063765,0.6,0.0583333333333333,0.0,0.00216548,1.59592,1.59375452,0.1108858,624,0.029503105590062112,0.0
grid_g6_p2_s0_c5,6,2,0,5,80000000.00000003,0.6,0.0,2500.0,0.00448702,0.74644,0.74195298,0.175322,629,0.023291925465838508,0.0
grid_g3_p2_s1_c0,3,2,1,0,8944271.90999916,0.6,0.0583333333333333,0.0,0.00390418,1.54007,1.5361658200000001,0.1053759,628,0.024844720496894408,0.0
grid_g0_p2_s1_c1,0,2,1,1,1000000.0,0.6,0.0583333333333333,500.0,0.00262299,1.6799,1.6772770099999998,0.136073,620,0.03571428571428571,0.0
grid_g5_p2_s0_c6,5,2,0,6,38539699.35995991,0.6,0.0,3000.0,0.00353434,0.672448,0.6689136600000001,0.195719,636,0.012422360248447204,0.0
grid_g1_p2_s1_c1,1,2,1,1,2075781.6311124284,0.6,0.0583333333333333,500.0,0.000568218,1.59405,1.593481782,0.16247999999999999,615,0.04503105590062112,0.0
grid_g4_p2_s1_c0,4,2,1,0,18566355.33445113,0.6,0.0583333333333333,0.0,0.000251363,1.55219,1.551938637,0.0894559,626,0.027950310559006212,0.0
grid_g2_p2_s1_c1,2,2,1,1,4308869.380063765,0.6,0.0583333333333333,500.0,0.000183643,1.49059,1.4904063570000001,0.164237,615,0.03881987577639751,0.0
grid_g3_p2_s1_c1,3,2,1,1,8944271.90999916,0.6,0.0583333333333333,500.0,4.7111e-05,1.47262,1.472572889,0.140957,626,0.027950310559006212,0.0
grid_g0_p2_s1_c2,0,2,1,2,1000000.0,0.6,0.0583333333333333,1000.0,0.00113549,1.63857,1.63743451,0.127579,626,0.021739130434782608,0.004658385093167702
grid_g6_p2_s0_c6,6,2,0,6,80000000.00000003,0.6,0.0,3000.0,0.0047174,0.671522,0.6668046,0.19657,627,0.026397515527950312,0.0
grid_g5_p2_s1_c0,5,2,1,0,38539699.35995991,0.6,0.0583333333333333,0.0,0.00421721,1.47589,1.47167279,0.09943489999999999,634,0.013975155279503106,0.0
grid_g1_p2_s1_c2,1,2,1,2,2075781.6311124284,0.6,0.0583333333333333,1000.0,0.00369611,1.35864,1.3549438900000002,0.137852,618,0.023291925465838508,0.0015527950310559005
grid_g4_p2_s1_c1,4,2,1,1,18566355.33445113,0.6,0.0583333333333333,500.0,0.00264771,1.43319,1.43054229,0.14618899999999999,621,0.034161490683229816,0.0
grid_g2_p2_s1_c2,2,2,1,2,4308869.380063765,0.6,0.0583333333333333,1000.0,0.00147018,1.37032,1.3688498199999999,0.130486,619,0.03260869565217391,0.006211180124223602
grid_g6_p2_s1_c0,6,2,1,0,80000000.00000003,0.6,0.0583333333333333,0.0,0.000365192,1.53657,1.536204808,0.10741139999999999,631,0.020186335403726708,0.0
grid_g3_p2_s1_c2,3,2,1,2,8944271.90999916,0.6,0.0583333333333333,1000.0,0.000793258,1.2799,1.279106742,0.147692,617,0.021739130434782608,0.0
grid_g0_p2_s1_c3,0,2,1,3,1000000.0,0.6,0.0583333333333333,1500.0,0.00591889,1.18224,1.17632111,0.156767,623,0.023291925465838508,0.003105590062111801
grid_g5_p2_s1_c1,5,2,1,1,38539699.35995991,0.6,0.0583333333333333,500.0,0.000203373,1.43884,1.438636627,0.142586,620,0.037267080745341616,0.0
grid_g1_p2_s1_c3,1,2,1,3,2075781.6311124284,0.6,0.0583333333333333,1500.0,0.000214298,1.16151,1.161295702,0.138566,633,0.015527950310559006,0.0015527950310559005
grid_g4_p2_s1_c2,4,2,1,2,18566355.33445113,0.6,0.0583333333333333,1000.0,0.00403396,1.7399,1.73586604,0.120504,627,0.026397515527950312,0.0
grid_g2_p2_s1_c3,2,2,1,3,4308869.380063765,0.6,0.0583333333333333,1500.0,0.000966989,1.27787,1.2769030110000001,0.144206,629,0.023291925465838508,0.0
grid_g6_p2_s1_c1,6,2,1,1,80000000.00000003,0.6,0.0583333333333333,500.0,0.000559914,1.4654,1.464840086,0.150802,625,0.029503105590062112,0.0
grid_g3_p2_s1_c3,3,2,1,3,8944271.90999916,0.6,0.0583333333333333,1500.0,0.000877918,1.2322,1.231322082,0.15551299999999998,633,0.017080745341614908,0.0
grid_g0_p2_s1_c4,0,2,1,4,1000000.0,0.6,0.0583333333333333,2000.0,0.00546802,1.11649,1.11102198,0.162825,632,0.017080745341614908,0.0015527950310559005
grid_g5_p2_s1_c2,5,2,1,2,38539699.35995991,0.6,0.0583333333333333,1000.0,0.00201443,1.12715,1.12513557,0.151864,623,0.015527950310559006,0.003105590062111801
grid_g1_p2_s1_c4,1,2,1,4,2075781.6311124284,0.6,0.0583333333333333,2000.0,0.00266901,1.23233,1.22966099,0.163571,627,0.026397515527950312,0.0
grid_g4_p2_s1_c3,4,2,1,3,18566355.33445113,0.6,0.0583333333333333,1500.0,0.00028709,1.05654,1.05625291,0.155666,631,0.017080745341614908,0.0
grid_g2_p2_s1_c4,2,2,1,4,4308869.380063765,0.6,0.0583333333333333,2000.0,0.00022459,1.50564,1.5054154100000001,0.138723,623,0.024844720496894408,0.007763975155279503
grid_g3_p2_s1_c4,3,2,1,4,8944271.90999916,0.6,0.0583333333333333,2000.0,0.000843547,0.99298,0.992136453,0.162567,636,0.012422360248447204,0.0
